Unnamed: 0,name,store,ing_info,calories,trans_fat,total_fat,saturated_fat,sodium,cholesterol,carbohydrate,dietary_fiber,protein,total_sugars,serve_ct,serve_size,labels
13,Hibiscus Lemongrass Naturally Flavored Sparkling Beverage,Trader Joes,"Carbonated Water (water, Carbon Dioxide), Cane Sugar, Lemon Juice Concentrate, Natural Hibiscus Flavor, Hibiscus Powder Extract, Natural Lemongrass Flavor.",50.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,12.0,1.0,1 Can (355ml),{'dairy free'}
14,Organic French Rolls,Trader Joes,"Organic Unbleached Enriched Flour (organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sea Salt, Yeast, Organic Malted Barley Flour. Contains Wheat.",130.0,0.0,0.0,0.0,240.0,0.0,26.0,1.0,4.0,0.0,6.0,1 Roll (50g),{'dairy free'}
15,Hot Cocoa Dunkers,Trader Joes,"Unbleached Enriched Wheat Flour (wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Chocolate Coating (sugar, Palm Kernel Oil, Cocoa Processed With Alkali, Buttermilk Powder, Palm Oil, Soy Lecithin, Natural Flavor), Sugar, Palm Oil, Chocolate Chunks (sugar, Cocoa Mass, Cocoa Butter, Dextrose, Soy Lecithin, Natural Flavor), Marshmallow Flavored Pieces (cane Sugar, Unbleached Wheat Flour, Soybean Oil, Cellulose Gum, Natural Flavor), Cocoa Powder, Cornstarch, Natural Flavors, Invert Sugar, Baking Soda, Egg White, Sea Salt, Soy Lecithin. Contains Milk, Egg, Soy, Wheat. May Contain Traces Of Coconut.",170.0,0.0,8.0,5.0,95.0,0.0,25.0,1.0,2.0,13.0,12.0,2 Cookies (36g),
16,Milk & Dark Chocolate Butterscotch Bits Bar,Trader Joes,"Milk Chocolate* (sugar, Cocoa Butter, Milk, Cocoa Mass, Soy Lecithin, Natural Vanilla Flavor), Dark Chocolate** (cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin), Butterscotch Pieces (sugar, Glucose Syrup [wheat], Brown Sugar, Vegetable Oil [palm, Sheanut], Butter, Water, Skim Sweetened Condensed Milk [skim Milk, Sugar], Salt, Soy & Sunflower Lecithin [emulsifier], Powdered Sugar), Hazelnut, Almond. *milk Solids 20.5% Minimum, Cocoa Solids 33.5% Minimum,**cocoa Solids 70% Minimum Contains Milk, Soy, Wheat, Almond, Hazelnut, Sheanut.",160.0,0.0,11.0,6.0,15.0,5.0,14.0,2.0,2.0,11.0,3.0,1/3 Bar (28g),
19,Peppermint Flavored Hold The Cone!,Trader Joes,"Peppermint Flavored Ice Cream (ice Cream [milk, Cream, Cane Sugar, Condensed Skim Milk, Whey, Egg Yolks, Guar Gum, Locust Bean Gum, Carrageenan], Natural Peppermint Flavor With Other Natural Flavors, Beet Juice Concentrate [color]), Chocolate Mini Cone (unbleached Wheat Flour, Sugar, Cocoa Powder [processed With Alkali], Soybean Oil, Soy Lecithin [emulsifier], Natural Flavor, Salt), Coating (sugar, Coconut Oil, Unsweetened Chocolate, Cocoa Powder [processed With Alkali], Calcium Carbonate, Cocoa Butter, Soy Lecithin [emulsifier], Natural Vanilla Flavor), Coconut Oil. Contains Milk, Egg, Soy, Wheat, Coconut.",260.0,0.0,12.0,8.0,100.0,30.0,32.0,2.0,4.0,19.0,2.0,3 Cones (84g),
20,Everything But The Elote Seasoning Blend,Trader Joes,"Cane Sugar, Sea Salt, Corn Flour, Chile Pepper, Parmesan Cheese (milk, Salt, Cheese Cultures, Enzymes, Disodium Phosphate), Chipotle Powder, Natural Flavor, Citric Acid (acidulant), Dried Cilantra, Organic Rice Fiber, Cumin Powder. Contains Milk.",0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,81.0,1/4 Teaspoon (0.8g),
21,Chocolate Covered Wafer Cookie,Trader Joes,"Milk Chocolate (sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Lactose, Milk Fat, Soy Lecithin), Wheat Flour, Coconut Oil, Sugar, Sweet Whey Powder, Fat Reduced Cocoa Powder, Skim Milk Powder, Rapeseed Oil, Salt, Rapeseed Lecithin, Ammonium Bicarbonate, Sodium Bicarbonate, Dried Egg Yolk. Contains Milk, Egg, Soy, Wheat, Coconut. May Contain Traces Of Peanut, Almond, Cashew, Hazelnut, Pecan, Pistachio, Walnut.",290.0,0.0,17.0,13.0,80.0,5.0,34.0,1.0,3.0,18.0,1.0,1 Bar (55g),
22,Nori Komi Furikake Japanese Multi-purpose Seasoning,Trader Joes,"White Sesame Seeds, Black Sesame Seeds, Nori (black Seaweed), Salt, Kelp Powder.",25.0,0.0,1.0,1.0,220.0,0.0,1.0,1.0,1.0,0.0,11.0,1 Tablespoon (5g),{'dairy free'}
24,Broccoli & Kale Pizza Crust,Trader Joes,"Broccoli, Corn Flour, Potato Starch, Cornstarch, Water, Black Kale, Olive Oil, Salt. May Contain Traces Of Milk.",70.0,0.0,0.0,0.0,230.0,0.0,15.0,0.0,1.0,0.0,6.0,1/6th Crust (50g),
25,Mini Cheesecake Cones,Trader Joes,"Cone (sugar, Almonds, Glucose Syrup, Sunflower Oil, Skim Milk Powder, Soy Lecithin [emulsifier], Cream), Filling (cream, Buffalo Milk Ricotta Cheese [buffalo Milk Whey, Sea Salt], Quark Cheese [milk, Sea Salt, Cheese Cultures, Microbial Enzyme], Sugar). Contains Milk, Soy, Almond. May Contain Traces Of Egg, Wheat, Brazil Nut, Chasew, Peacan, Pine Nut, Pistachio.",210.0,0.0,13.0,5.0,30.0,15.0,21.0,1.0,3.0,14.0,4.0,1 Cone (50g),
26,Assorted Chocolate Half-dipped Almond Biscotti,Trader Joes,"Biscotti (unbleached Enriched Flour [wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Sugar, Almonds, Butter [cream, Salt], Eggs, Natural Flavors, Baking Powder [sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate]), Dark Chocolate (sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin [emulsifier], Natural Flavor), Milk Chocolate (sugar, Milk, Chocolate Liquor, Cocoa Butter, Soy Lecithin [emulsifier], Natural Flavor), Rainbow Nonpareils (sugar, Cornstarch, Maltodextrin, Spirulina Extract [for Color], Turmeric Extract [for Color], Fruit And Vegetable Juices [for Color], Carnauba Wax), Roasted Salted Pistachios (pistachios, Sea Salt), Almonds, Crushed Peppermint Candy (cane Sugar, Rice Syrup, Peppermint Oil, Vegetable Juice [for Color]), Chocolate Cookie Pieces (unbleached Enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Cane Sugar, Expeller Pressed Soybean Oil, Cocoa Processed With Alkali, Contains 2% Or Less Of Invert Sugar Syrup, Leavening [baking Soda And/or Ammonium Bicarbonate], Sea Salt, Cocoa Extract, Soy Lecithin, Natural Flavor, Cocoa Powder, Coffee Powder), Roasted Salted Peanuts (peanuts, Sea Salt, Peanut Oil). Contains Milk, Egg, Sot, Wheat, Peanut, Almond, Pistachio. May Contain Traces Of Cashew, Coconut, Pecan.",160.0,0.0,8.0,3.0,50.0,20.0,20.0,1.0,3.0,11.0,6.0,1 Piece (33g),
29,Gluten Free Cheese Pizza With A Cauliflower Crust,Trader Joes,"Cauliflower Pizza Crust (cauliflower, Low Moisture Whole Milk Mozzarella Cheese [milk, Cheese Cultures, Salt, Microbial Rennet], Potato Flour, Chickpea Flour, Brown Rice Flour [brown Rice, Stabilized Rice Bran], Egg Whites, Xanthan Gum, Spices), Pizza Sauce (tomato Puree, Salt, Sugar, Extra Virgin Olive Oil, Spices, Garlic Powder), Mozzarella Cheese (milk, Cheese Culture, Salt, Microbial Rennet), Provolone Cheese (milk, Cheese Culture, Salt, Microbial Rennet), Oregano, Rosemary. Contains Milk, Egg.",250.0,0.0,12.0,7.0,490.0,35.0,24.0,3.0,14.0,3.0,3.0,1/3 Pizza (113g),
31,Cultured Coconut Milk,Trader Joes,"Vanilla: Coconut Milk (water, Coconut Cream, Tapioca Starch), Vanilla Flavoring Base (water, Cane Sugar, Modified Cornstarch, Natural Vanilla Flavor, Pectin, Locust Bean Gum, Citric Acid), Live Active Cultures (streptococcus Thermophilus, Lactobacillus Acidophilus, L. Bulgaricus, Bifidobacterium Lactis, L. Casei). Contains Coconut. Blueberry: Coconut Milk (water, Coconut Cream, Tapioca Starch), Blueberry Flavoring Base (water, Cane Sugar, Blueberries, Modified Cornstarch, Natural Blueberry Flavor With Other Natural Flavor), Live Active Cultures (streptococcus Thermophilus, Lactobacillus Acidophilus, L. Bulgaricus, Bifidobacterium Lactis, L. Casei). Contains Coconut.",170.0,0.0,8.0,7.0,25.0,0.0,24.0,0.0,1.0,16.0,1.0,1 Container (170g/6oz),
32,Crunchy Red Dragon Fruit Chips,Trader Joes,Dried Red Dragon Fruit.,120.0,0.0,1.0,0.0,0.0,0.0,24.0,2.0,2.0,15.0,2.0,11 Pieces (30g),{'dairy free'}
34,Spud Crunchies,Trader Joes,"Potato, Expeller Pressed Canola Oil, Salt.",150.0,0.0,9.0,1.0,65.0,0.0,17.0,1.0,2.0,0.0,4.0,1/4 Bag (28g),{'dairy free'}
36,"Unsweetened Almond, Cashew & Macadamia Nut Beverage",Trader Joes,"Water, Almonds, Cashews, Macadamia Nuts, Calcium Carbonate, Sea Salt, Locust Bean Gum, Sunflower Lecithin, Natural Flavor, Gellan Gum. Contains Almond, Cashew, Macadamia Nut.",30.0,0.0,2.0,0.0,120.0,0.0,1.0,1.0,1.0,0.0,4.0,1 Cup (240ml),{'dairy free'}
37,Peanut And Crispy Noodle Salad Kit,Trader Joes,"Salad (savoy Cabbage, Green Cabbage, Romaine Lettuce, Dry Roasted Peanuts, Red Cabbage, Carrots, Celery, Fried Rice Noodles [rice Flour, Water, Soybean Oil], Green Onion, Cilantro), Peanut And Lime Dressing (peanut, Water, Sugar, Expeller Pressed Soybean Oil, Rice Vinegar, Soy Sauce [water, Wheat, Soybeans, Salt], Agave Syrup, Chopped Garlic [water, Garlic], Ginger, Lemon Grass, Sea Salt, Lime Juice Concentrate, Crushed Red Pepper, Cilantro, Basil, Natural Flavor, Xanthan Gum, Ground Thai Lime Leaves, Spearmint, Cayenne Pepper). Contains Soy, Wheat, Peanut.",140.0,0.0,9.0,1.0,210.0,0.0,12.0,3.0,4.0,5.0,4.0,1 3/4 Cup (100g) Salad + Dressing,{'dairy free'}
38,Boo Bark,Trader Joes,"Milk Chocolate (sugar, Milk, Chocolate Liquor, Cocoa Butter, Soy Lecithin [emulsifier], Natural Flavor) White Chocolate (sugar, Cocoa Butter, Whole Milk, Non Fat Milk Powder, Milk Fat, Soy Lecithin [emulsifier], Natural Flavor), Orange Candy Gems (milk Chocolate [sugar, Unsweetened Chocolate, Cocoa Butter, Whole Milk Powder, Milk Fat, Soy Lecithin {emulsifier}, Vanilla Extract {water, Ethyl Alcohol, Vanilla Bean Extractives}], Colored Cany Shell [sugar, Rice Starch, Gum Arabic, Confectioner's Glave, Cornstarch, Annatto Extract {color}]), Candy Corn (sugar, Tapioca Syrup, Corn Syrup, Contains 2% Or Less Of Invert Sugar Syrup, Coconut Oil, Natural Flavors, Sea Salt, Confectioner's Glaze, Carnauba Wax, Beeswax, Titanium Dioxide [color], Beta Carotene [color], Annatto Extract [color], Egg White), Chocolate Cookie Pieces (unbleached Enriched Flour [wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Sugar, Soybean Oil, Cocoa Processed With Alkali, Contains 2% Or Less Of Invert Sugar Syrup, Leavening [baking Soda And/or Ammonium Bicarbonate], Sea Salt, Cocoa Extract, Soy Lecithin, Natural Flavor, Cocoa Powder, Coffee Powder), Dark Chocolate (sugar, Chocolate Liquor, Cocoa Butter, Soy Lecithin, Natural Flavor), Paprika Oleorsin (for Color). Contains Milk, Egg, Soy, Wheat, Coconut. May Contain Traces Of Peanut, Almond, Cashew, Pecan.",160.0,0.0,8.0,5.0,25.0,5.0,19.0,1.0,2.0,17.0,4.0,1/4 Bar (30g),
39,Gummy Xs & Os,Trader Joes,"Cane Sugar, Invert Sugar, Tapioca Syrup, Modified Cornstarch, Contains 2% Or Less Of Dextrose, Citric Acid, Natural Flavors, Sodium Citrate, Fruit And Vegetable Color Blend (black Carrot Juice Concentrate, Blackcurrant Juice Concentrate, Invert Sugar), Sunflower Oil, Carnauba Wax. May Contain Traces Of Peanut, Almond, Pecan.",110.0,0.0,0.0,0.0,20.0,0.0,26.0,0.0,0.0,19.0,14.0,8 Pieces (28g),{'dairy free'}
40,Mini Meyer Lemon Flavored Biscotti,Trader Joes,"Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Cane Sugar, Butter (cream [milk], Salt), Eggs, Confectionery Coating (cane Sugar, Palm Kernel Oil, Natural Flavors, Sunflower Lecithin, Salt), Natural Flavors, Baking Powder (sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Citric Acid (acidulant). Contains Milk, Egg Wheat.",120.0,0.0,4.0,2.0,50.0,25.0,19.0,0.0,2.0,10.0,8.0,2 Pieces (27g),
41,Chocolate Chip Pain Au Lait,Trader Joes,"Wheat Flour, Chocolate Chips (sugar, Cocoa Mass, Cocoa Butter, Soy Lecithin), Sugar, Palm Oil, Eggs, Water, Monoand Diglycerides, Canola Oil, Yeast, Contains 2% Or Less Of Whole Milk Powder, Salt, Ascorbic Acid (dough Conditioner), Wheat Gluten, Wheat Fiber, Psyllium Fiber, Casein, Calcium Caseinate, Natural Flavor, Enzymes Contains Milk, Egg, Soy, Wheat.",160.0,0.0,7.0,3.0,135.0,15.0,18.0,1.0,3.0,7.0,8.0,1 Roll (35g),
44,Soy Creamy Cherry Chocolate Chip Non-dairy Frozen Dessert,Trader Joes,"Organic Soymilk (filtered Water, Organic Soybeans), Organic Cane Sugar, Cherries (cherries, Sugar, Fruit And Vegetable Concentrates [color], Citric Acid, Natural Flavors)' Chocolate Chips (sugar, Bitter Chocolate, Cocoa Butter, Soy Lecithin, Vanilla Extract), Oleic Safflower Oil, Brown Rice Syrup Soild, Natural Flavors, Sea Salt, Carob Bean Gum, Guar Gum, Carrageenan. Contains Soy.",190.0,0.0,8.0,1.0,75.0,0.0,31.0,1.0,2.0,23.0,8.0,1/2 Cup (100g),
46,Gochujang Chop Salad Kit,Trader Joes,"Salad (napa Cabbage, Romaine Lettuce, Carrot, Red Cabbage, Celery, Radish, Puffed Brown Rice, Black Sesame Seeds), Gochujang Vinaigrette (sugar, Water, Sesame Oil, Soy Sauce [water, Soybeans, Salt, Alcohol], Gochujang Hot Pepper Paste [water, Sugar, Chili Powder, Fermented Soybean Paste {water, Soybeans, Rice, Salt, Alcohol}, Pear Puree Concentrate, Salt, Salted Sake {sake (water, Rice, Koji Starter [aspergillus Oryzae]), Salt}, Contains 2% Or Less Of Onion Powder, Garlic Powder, Yeast Extract, Rice Vinegar, Sesame Oil, Paprika, Cornstarch], Distilled Vinegar, Dried Ginger, Rice Vinegar, Contains 2% Or Less Of Citric Acid, Cornstarch, Dehydrated Garlic, Spices, Pineapple Juice Concentrate, Salt, Sesame Seed, Xanthan Gum). Contains Soy.",100.0,0.0,4.0,0.0,190.0,0.0,14.0,1.0,2.0,6.0,4.0,1 1/2 Cup (100g) Salad Plus Dressing†,{'dairy free'}
47,Harvest Grain Salad,Trader Joes,"Farro Wheat, Black Barley, Roasted Butternut Squash (butternut Squash, Olive Oil), Harvest Spice Dressing (rice Vinegar, Water, Cane Sugar, Soy Sauce [water, Soybeans, Wheat, Salt], Diced Jalapeno Peppers, Lime Juice Concentrate, Gum Blend [guar Gum, Xanthan Gum], Sea Salt, Organic Cayenne Pepper, Allspice, Cinnamon, Ground Coriander, Ground Nutmeg), White Quinoa, Red Quinoa, Tangerine Flavored Cranberries (cranberries, Water, Pear Concentrate, Apple Concentrate, Natural Tangerine With Other Natural Flavors), Celery, Kale, Sweetened Dried Cranberries (cranberries, Sugar, Sunflower Oil), Green Onion, Pecans. Contains Soy, Wheat, Pecan.",100.0,0.0,2.0,0.0,55.0,0.0,19.0,3.0,3.0,7.0,4.0,1/3 Cup (100g),{'dairy free'}
49,Gelato!,Trader Joes,"Nonfat Milk, Cane Sugar, Caramel Swirl (cane Sugar, Filtered Water, Sweetened Condensed Milk [milk, Sugar], Corn Syrup, Dulce De Leche [non Fat Milk Powder, Water, Sugar, Corn Syrup, Unsalted Butter, Sodium Bicarbonate], Pectin), Coconut Oil, Heavy Cream, Cookie Pieces (unbleached Wheat Flour, Sugar, Canola Oil, Cocoa Processed With Alkali, Sea Salt, Natural Flavor, Sodium Bicarbonate), Dextrose, Chicory Root Extract (inulin), Whey Protein Concentrate, Stabilizers (locust Bean Gum, Carrageenan, Guar Gum), Sunflower Lecithin, Natural Flavors. Contains Milk, Wheat, Coconut. Caramel Cookie Crunch Gelato",220.0,0.0,9.0,7.0,90.0,15.0,27.0,0.0,10.0,29.0,3.0,2/3 Cup (106g),
50,Limone Alfredo,Trader Joes,"Whole Milk, Water, Whipping Cream, Parmigiano Reggiano Cheese (milk, Salt, Animal Rennet), Sunflower Seed Oil, Modified Cornstarch, Butter (cream), Lemon Juice Concentrate, Salt, Natural Flavors, Spices, Xanthan Gum, Citric Acid (acidifier). Contains Milk.",190.0,0.0,15.0,8.0,540.0,30.0,9.0,0.0,4.0,3.0,3.0,1/2 Cup (116g),
51,Maple & Sea Salt Kettle Corn,Trader Joes,"Cane Sugar, Popcorn, Coconut Oil, High-oleic Sunflower Oil, Maple Sugar, Sea Salt, Natural Flavors. Contains Coconut.",150.0,0.0,8.0,5.0,160.0,0.0,21.0,1.0,1.0,13.0,7.0,1 1/2 Cups (30g),{'dairy free'}
53,Organic Toasted Sesame Dressing,Trader Joes,"Organic High-oleic Sunflower Oil, Water, Toasted Sesame Oil, Organic Brown Sugar (organic Cane Sugar, Organic Molasses), Organic Soy Sauce (water, Organic Soybeans, Organic Wheat, Salt, Organic Alcohol), Organic Distilled White Vinegar, Organic Sesame Seeds, Organic Yeast Extract, Organic Black Sesame Seeds, Organic Dried Egg, Sea Salt, Xanthan Gum. Contains Egg, Soy, Wheat.",130.0,0.0,13.0,1.0,200.0,0.0,4.0,0.0,1.0,3.0,12.0,2 Tbsp (30ml),{'dairy free'}
54,Cornbread Crisps,Trader Joes,"Enriched Wheat Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Enriched Yellow Corn Meal (yellow Corn Meal, Niacin, Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Sugar, High-oleic Sunflower Oil (high-oleic Sunflower Oil, Rosemary Extract And Ascorbic Acid [antioxidants]), Cornstarch, Baking Powder (sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Salt, Natural Flavors. Contains Wheat. May Contain Traces Of Soy.",140.0,0.0,4.0,0.0,240.0,0.0,23.0,1.0,2.0,4.0,6.0,8 Crisps (30g),{'dairy free'}
55,Organic Spicy Taco Sauce,Trader Joes,"Water, Organic Distilled White Vinegar, Organic Tomato Paste, Organic Spices, Organic Red Jalapeno Pepper Puree (organic Jalapeno Peppers, Organic Distilled White Vinegar, Salt), Salt, Organic Soybean Oil, Organic Cultured Dextrose, Maltodextrin, Organic Garlic Powder, Organic Onion Powder, Xanthan Gum. Contains Soy.",5.0,0.0,0.0,0.0,140.0,0.0,1.0,0.0,0.0,0.0,23.0,1 Tbsp. (16g),{'dairy free'}
56,Blueberry Muffins,Trader Joes,"Sugar, Unbleached Enriched Flour (wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Blueberries, Eggs, Expeller Pressed Canola Oil, Wild Blueberries, Sour Cream (grade A Cultured Cream), Water, Nonfat Dry Milk, Tapioca Starch, Baking Powder (sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Vegetable Glycerine, Sweetened Lemon Zest (lemon Zest, Sugar, Natural Flavor), Natural Flavors, Sea Salt, Whole Wheat Flour, Microbial Enzymes. Contains Milk, Egg, Wheat. May Contain Traces Of Soy, Peanut, Almond, Coconut, Walnut, Pecan.",360.0,0.0,13.0,1.0,270.0,45.0,56.0,1.0,4.0,32.0,4.0,1 Muffin (100g),
57,Butternut Squash Mac & Cheese,Trader Joes,"Mezzi Rigatoni Pasta (semolina, Durum Wheat Flour, Water, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butternut Squash, Bechamel Sauce (milk [milk, Skim Milk, Vitamin A Palmitate, Vitamin D3], Unbleached Enriched Flour [wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid], Butter [cream, Salt], White Pepper), Gouda Cheese (pasteurized Milk, Cheese Cultures, Salt, Microbial Enzyme, Beta-carotene [color], Cellulose Powder), Cheddar Cheese (pasteurized Milk, Cheese Culture, Salt, Microbial Enzyme, Annatto [color], Cellulose Powder), Parmesan Cheese (pasteurized Part Skim Milk, Cheese Culture, Salt, Microbial Enzyme, Cellulose Powder), Salt, Onion Powder, Garlic Powder, Mustard (distilled Vinegar, Water, Mustard Seed, Sea Salt, Spices, Turmeric), Nutmeg, Sage, Black Pepper, Thyme, Cayenne Pepper. Contains Milk, Wheat.",250.0,0.0,8.0,4.0,480.0,25.0,38.0,2.0,11.0,4.0,2.0,1 Cup (170g),
58,Chocolate. Hummus.,Trader Joes,"Cooked Chickpeas (garbanzo Beans, Water), Cane Sugar, Water, Cocoa Processed With Baking Soda, Expeller Pressed Canola Oil, Sea Salt, Tahini (sesame Seeds), Natural Flavor, Nisin (mold Inhibitor).",50.0,0.0,1.0,0.0,90.0,0.0,9.0,1.0,2.0,5.0,8.0,2 Tbsp. (28g),{'dairy free'}
